r_indiv	r_group	SNR	corr	ci_lo	ci_hi	epoch	participant_id
0.9999999890758238	-0.9999999926874555	0.028673626736013386	cue-finger	-1.0	0.9999999344186318	Pre	100
0.9999912086936957	-0.9999999926874555	1.4629066116687337e-12	cue-finger	-1.0	0.9999999344186318	Pre	101
-0.9999999992824824	-0.9999999926874555	0.08662465122583309	cue-finger	-1.0	0.9999999344186318	Pre	102
-0.9999968681357866	-0.9999999926874555	0.04518267839616266	cue-finger	-1.0	0.9999999344186318	Pre	104
0.704529937115037	-0.9999999926874555	3.1285321075827665e-147	cue-finger	-1.0	0.9999999344186318	Pre	105
-1.0	-0.9999999926874555	6.405554766810559e-21	cue-finger	-1.0	0.9999999344186318	Pre	106
1.0	-0.9999999926874555	1.3767994972614722e-15	cue-finger	-1.0	0.9999999344186318	Pre	107
-1.0	-0.9999999926874555	4.079472630436342e-39	cue-finger	-1.0	0.9999999344186318	Pre	108
-1.0	-0.9999999926874555	7.210034847398015e-35	cue-finger	-1.0	0.9999999344186318	Pre	109
-0.9999957655891553	-0.9999999926874555	2.443315942991963e-12	cue-finger	-1.0	0.9999999344186318	Pre	110
-0.12222569107447954	-0.036143379356713426	0.13685836625896824	cue-finger	-0.9999999998012431	0.7192578263445658	SLR	100
0.7089710434628389	-0.036143379356713426	0.4056753151012932	cue-finger	-0.9999999998012431	0.7192578263445658	SLR	101
0.9999999999982996	-0.036143379356713426	0.01781422899491966	cue-finger	-0.9999999998012431	0.7192578263445658	SLR	102
1.0	-0.036143379356713426	1.2918324710550268e-42	cue-finger	-0.9999999998012431	0.7192578263445658	SLR	104
-1.0	-0.036143379356713426	3.912286442665663e-148	cue-finger	-0.9999999998012431	0.7192578263445658	SLR	105
-1.0	-0.036143379356713426	0.09972827906424434	cue-finger	-0.9999999998012431	0.7192578263445658	SLR	106
0.9999998299551592	-0.036143379356713426	0.014868707554657365	cue-finger	-0.9999999998012431	0.7192578263445658	SLR	107
1.0	-0.036143379356713426	6.597012398159611e-24	cue-finger	-0.9999999998012431	0.7192578263445658	SLR	108
-0.24572118827013287	-0.036143379356713426	0.05152053989018865	cue-finger	-0.9999999998012431	0.7192578263445658	SLR	109
-0.9999998975283741	-0.036143379356713426	0.043716732702714936	cue-finger	-0.9999999998012431	0.7192578263445658	SLR	110
1.0	0.646110329902124	0.34733454952788545	cue-finger	0.3695791768779622	0.849663525417246	LLR	100
0.7646156892312038	0.646110329902124	0.3881680623412003	cue-finger	0.3695791768779622	0.849663525417246	LLR	101
0.9999999827359077	0.646110329902124	0.04585631158751969	cue-finger	0.3695791768779622	0.849663525417246	LLR	102
0.5578894233159128	0.646110329902124	0.06746171574833157	cue-finger	0.3695791768779622	0.849663525417246	LLR	104
1.0	0.646110329902124	0.033964241195129564	cue-finger	0.3695791768779622	0.849663525417246	LLR	105
0.7007670958231069	0.646110329902124	1.2794003385699104	cue-finger	0.3695791768779622	0.849663525417246	LLR	106
0.8132184459326999	0.646110329902124	0.4039613905309907	cue-finger	0.3695791768779622	0.849663525417246	LLR	107
1.0	0.646110329902124	0.49574580241575655	cue-finger	0.3695791768779622	0.849663525417246	LLR	108
0.6536921127556679	0.646110329902124	0.13852903278091436	cue-finger	0.3695791768779622	0.849663525417246	LLR	109
-0.9999990732936981	0.646110329902124	0.09695601087840877	cue-finger	0.3695791768779622	0.849663525417246	LLR	110
0.7701416342917654	0.7740201256714457	0.3781816503078599	cue-finger	0.673095154957245	0.8964131714429286	Vol	100
1.0	0.7740201256714457	5.583869014959198	cue-finger	0.673095154957245	0.8964131714429286	Vol	101
0.9999999999995973	0.7740201256714457	0.11247156632875396	cue-finger	0.673095154957245	0.8964131714429286	Vol	102
0.6956762455465274	0.7740201256714457	1.5552249742566493	cue-finger	0.673095154957245	0.8964131714429286	Vol	104
0.9466952583982658	0.7740201256714457	0.538489676351218	cue-finger	0.673095154957245	0.8964131714429286	Vol	105
0.9618822315713585	0.7740201256714457	1.8466021033716358	cue-finger	0.673095154957245	0.8964131714429286	Vol	106
1.0	0.7740201256714457	0.6658507645897587	cue-finger	0.673095154957245	0.8964131714429286	Vol	107
0.8756521974061474	0.7740201256714457	0.8253969250703751	cue-finger	0.673095154957245	0.8964131714429286	Vol	108
0.3501075749278575	0.7740201256714457	0.30181823592967966	cue-finger	0.673095154957245	0.8964131714429286	Vol	109
0.977455211795401	0.7740201256714457	0.5821839249111942	cue-finger	0.673095154957245	0.8964131714429286	Vol	110
