r_indiv	r_group	SNR	corr	ci_lo	ci_hi	roi	time_interval	session_id
0.12207305290679661	0.4074837857934948	0.6093632380447278	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	1.0
0.0178185709879517	0.4074837857934948	0.5619827991472713	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	2.0
0.5645324544110816	0.4074837857934948	0.33906195091315944	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	3.0
0.5208045752953917	0.4074837857934948	0.13247597315203	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	4.0
0.41416171215110015	0.4074837857934948	0.2258201977297164	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	5.0
0.8289689247913077	0.4074837857934948	0.15551685228848544	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	6.0
0.3219983056393828	0.4074837857934948	0.27459505413151436	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	7.0
0.0521873088244683	0.4074837857934948	0.25858371519795553	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	8.0
-0.9999892475747008	0.4074837857934948	0.0450362457318535	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	9.0
0.4108681567455069	0.4074837857934948	0.18716119891124416	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	10.0
-0.9999999999325825	0.4074837857934948	0.00030570992380256167	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	11.0
1.0	0.4074837857934948	0.12127264670194796	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	12.0
0.25720485391550324	0.4074837857934948	1.536741258185097e-11	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	13.0
0.5658214126031249	0.4074837857934948	0.6694091150483419	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	14.0
0.5000548329611236	0.4074837857934948	0.46912777274023404	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	15.0
0.20159498936408426	0.4074837857934948	0.3063277185016177	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	16.0
0.5381015382604113	0.4074837857934948	0.5139545180734468	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	17.0
0.72382934928942	0.4074837857934948	0.858358036801514	cue-dir	0.2807946587534991	0.5032685913852967	M1-S1	early	18.0
0.25846485369252453	0.3208748054254555	0.6017828105226676	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	1.0
0.079132814457008	0.3208748054254555	0.515830538329085	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	2.0
-0.9999999255095636	0.3208748054254555	0.08122689843354243	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	3.0
0.9451268621477222	0.3208748054254555	0.09941693692464784	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	4.0
1.0	0.3208748054254555	0.04621135215366649	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	5.0
0.5613506246252523	0.3208748054254555	0.16699262920764663	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	6.0
0.47720959101750604	0.3208748054254555	0.2068031791041337	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	7.0
0.6521636803053205	0.3208748054254555	0.1710653388602791	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	8.0
0.11743067990642911	0.3208748054254555	0.08302847781855317	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	9.0
0.9999976942106829	0.3208748054254555	0.06795307027427427	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	10.0
-0.999999557137017	0.3208748054254555	0.04307999794528255	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	11.0
0.6117980464415113	0.3208748054254555	0.14923405145800553	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	12.0
1.0	0.3208748054254555	0.04489220014412521	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	13.0
0.5434383946579467	0.3208748054254555	0.5912019215426129	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	14.0
0.408450758831578	0.3208748054254555	0.345814819380272	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	15.0
-0.11244899613945597	0.3208748054254555	0.2556151355518607	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	16.0
0.18861199833492032	0.3208748054254555	0.27592628361570265	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	17.0
0.6973170161099821	0.3208748054254555	0.1458393078020955	cue-dir	0.15483910215223246	0.5182783870779073	M1-S1	late	18.0
